,Company_ID,guid,Employee_Size_Location,Primary_NAICS_Code
203,5152705,130579b9-00fb-40fc-ae92-070cf181f53b,1,53119004
204,9201858,433b41ae-6423-4dad-a8eb-60e17b80a5fa,3,45399102
205,124538,00dab1f9-c5d6-466b-a23b-c5efbd388b86,7,56159905
206,6600812,bc2b1846-bf3c-4698-a7f6-a4dc291aa292,5,71394015
207,14502692,b8a2b2ca-5b92-42e8-8e94-b3f53ac804b9,1,23822020
209,7494623,9eaf029f-ec4d-4598-b2c1-1c3fed18ca93,1,81149058
210,10959889,f278838d-0a00-44b0-824a-32240a0fd364,3,23832003
211,124518,4d2f83f9-1f35-4e73-b941-7416c3f6ef68,2,23834005
212,13584800,23b07a61-0092-4b16-9889-d8e521db0e7a,10,72251117
213,8302737,de2bffad-0afb-4cf8-acc4-19f080230be5,20,44611009
214,11638621,a954756d-a30b-40bc-9104-ac18a170fda0,1,81311008
215,2082220,b869173b-7921-4e11-82ff-6b3840c4a233,4,51511203
216,7930031,f278838d-0a00-44b0-824a-32240a0fd364,53,72119909
217,3887140,19c13cd0-1183-49a3-bee2-69fd29528e56,5,72251117
218,14502700,3031b6cf-e349-4d44-b0ca-3f283af75dea,3,45322013
219,11706769,af03fc19-ac73-4ea5-9749-a933317cbc84,15,72111002
220,2256737,c42efed7-fd70-4b2e-9948-60167953eba9,6,44811006
221,7494600,1c814a0b-a55f-4960-b74c-4e20b1a69c71,3,62131002
222,14502711,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,346,62211002
223,5430879,b4301af0-e716-414e-8707-d9af1f088611,8,72251117
225,125144,14c16d8e-e1ba-4f82-949a-c31f8d2680fb,6,44719005
226,1328509,e08d5db4-9473-4e8c-9a6e-5d6d248ff98f,2,45411101
227,1081372,a954756d-a30b-40bc-9104-ac18a170fda0,3,54121101
228,3794461,ba49a37a-824d-44ac-afaf-3a06e6bcd78d,1,23834005
229,125176,8bcde870-8ffe-418f-bf7e-c383377fa318,10,56192002
230,11599360,3a2791ea-784d-4ded-a2ca-8b2214b23b5e,2,81232002
231,4738711,f278838d-0a00-44b0-824a-32240a0fd364,3,45112023
232,12088705,277a4dc7-1f92-4c8d-918b-eda5c181bfb2,15,72251117
233,14502693,457d982b-dece-4fae-a1c8-8e49d5799588,1,23611505
234,5152883,0c7d2efe-6068-46bf-8299-d9fa946b5c3b,1,54169014
235,3794403,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
236,2668302,742d8fa2-202d-4c73-8f38-d84718c2dcb4,2,72251117
238,4475523,60e98a6f-b031-4dd8-baca-e93e9c31caf2,2,81391002
239,10959887,6b5a6c27-9f39-4d32-adc5-e9bf9b5e4dd6,21,72111002
240,15333146,fb38aa13-bec3-43b8-8143-6bf781492136,2,72251503
241,5504113,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,23833007
242,8302738,801f2545-59bb-4ce3-a658-dcd63e0d6446,1,81211101
243,1544420,f278838d-0a00-44b0-824a-32240a0fd364,1,62139933
244,8974700,c42efed7-fd70-4b2e-9948-60167953eba9,8,44812010
245,2256744,6b0688f7-c132-4330-9c21-1585dd85c72d,13,48511901
246,7930005,69be26d0-c2a5-4754-9f26-3dc1a8727375,3,52421001
247,12315032,e08d5db4-9473-4e8c-9a6e-5d6d248ff98f,3,44314207
248,5871341,ad9b7cc0-652e-4ac7-8a3b-c1bf8e986159,3,71394010
249,9201864,181d1a4b-4c48-42ba-b397-063127b36c9e,3,45331041
250,15600380,1c814a0b-a55f-4960-b74c-4e20b1a69c71,6,53131111
251,6469478,bc2b1846-bf3c-4698-a7f6-a4dc291aa292,9,44522004
252,3173351,c8adfcb8-f4e6-4d54-b070-409b2f990669,1,62139932
253,13254198,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,45392002
254,2082232,86f1f519-0fe3-4830-92ff-7bd226bfe929,1,81112203
255,124566,f03c59a7-99c5-4d16-84cc-d7df5b8ec969,2,72111002
256,5663618,fb1d7564-a6cc-46de-8052-d2f088d0c1b5,2,81121206
257,5515066,d77f0dca-697e-4fdc-8018-b9b2721d0ace,10,72251117
258,2687754,4ba97e52-f049-4cac-9500-74761d2eaef3,6,23821007
259,3794357,47d5c5d0-4a41-424b-a673-58c207472ad9,10,44813003
260,9201873,71b2a9f4-e93f-40c5-9511-12835a5053d2,1,56132001
261,6600811,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,53121003
262,12315365,b972e786-9433-41d1-9fe4-959d77d528db,1,62134007
263,4190772,9b1402ff-6456-4c64-8b6d-908b55cae411,1,54199009
264,13219870,3d9300de-e142-4d98-8a22-60d02eadc116,2,56199001
265,125178,0a064475-7c22-4640-8761-c18751333d06,58,61111007
266,5032275,4851fde8-07fd-49d1-90eb-359403e819a6,5,54111002
267,11442701,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,7,81399005
268,13830313,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,3,62111107
269,3886972,51de717f-b22a-49e2-9d54-d342696b2d72,8,72251117
270,125170,3edf21cd-cb80-4fad-bff7-26d93e1e05a7,14,44529202
272,9513921,fb1d7564-a6cc-46de-8052-d2f088d0c1b5,4,23611505
273,6600819,ba4fb4d2-f05c-44bb-9757-6b4198dc107f,2,52421001
274,13925080,b869173b-7921-4e11-82ff-6b3840c4a233,2,81219915
275,10959931,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,7,72251117
276,13342153,6fc9710c-336d-4143-9eb8-8eaaa7530f14,4,44611015
277,1974467,3228cb6a-db42-4547-a8f0-79aec1f0e9a2,2,53111004
278,14502698,3a497b68-28b7-4207-aaa4-90aba4a98019,25,62331206
279,10027454,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,10,62211003
280,11442754,f278838d-0a00-44b0-824a-32240a0fd364,1,23799012
281,8974708,f278838d-0a00-44b0-824a-32240a0fd364,1,81331905
282,4190344,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,23611505
283,3794274,3a497b68-28b7-4207-aaa4-90aba4a98019,2,92112006
284,4887267,23b07a61-0092-4b16-9889-d8e521db0e7a,15,72251115
